wallet,balance,received
bc1qt24rgc8gk3xmx6fzzdwxc2c92cmp7xa8lju4za,0,0
bc1qp04ykljcchpuufsmly6dutvjd8qtg3f563xxdw,0,0
12V63PHiX8FvEgyewX5W1D2QrdJJSawqQM,0,0
1HFqLt3fbuewZe5ncJautgncS6hN1ZzX5r,0,0
37JcnKmYGBT7H5fyWuthHnrJsQjcHrewDB,0,0
3Cxt179UhfF4xkNQsytDmoJVWEJs1ERbZh,0,0
3M9tAMuamLcCpifaCQPSH3Th5F4VwjmyWz,0,0
37ksH1Hyv6JsWd2R8c7Vynvey8Zvo1qZmN,0,0
3QAqPfg26ZpT1NHFHWYi1ZuPYd3r8j44Aq,0,0
33UTXVkbX3w4w47TCZ81Z591CJoBNv7StW,0,0
3KyfMZTy7Zi5Q23UwQ1xMdNZphdbQ3Qh3Y,0,0
39WUiNppNBgNF9JUGmkt2gJQtGbPeyp6bc,0,0
38edz7XRAuA4gvvU86todGu9PoRn8BrWB4,0,0
3BWQhLHVWwm57jdhCTnZzD9XrYa4CYabiL,0,0
39fPanSUkZ15sPqXx5BaBiihcafqzzq6CS,0,0
36nvzDT1CdgLjfo2EhSitRPSvxhA5psY5A,0,0
1D8Ub82dsqwV3fS7BHmWy7PWVHdAfNRWcx,0,0
1Ccb87rHCN2pqBFxafz11MkUWBtHD1jWM8,0,0
193UjvwxxvqbZJopaALERyaCXN4Ep1ZKRb,0,0
3EWff3oToMtv2Ed4n6Hy3a3FZnQKRtoiCh,0,0
34WTeojnHcfh3Z2rXCpNHsiM65y2GC98Qo,0,0
398L99TJEJ5P9JGun3mEpuzkAotmaZhRyV,0,0
3MEs3kd3juiyCUkAVEjQFBkTtzk1Ps1pkC,0,0
3Jvm2D4t3H1TThkBHY5C7pvDMHFEe9YJTH,0,0
143SvQezdaCGK5nx2jZEHKCBKrMZ27CTEy,0,0
3Fpks2Ho8jHudPfrseXpLBbFkCX6RjED5X,0,0
3Aw8zuMbQmkXYZeEHLRLQLV9AHwBoKcaD1,0,0
3NSEweEhnhtXg2bQxgd5DEwact7fMhi1oe,0,0
3HrDFf1Yj95PFeSR58kCthga3p9hcz9Nmw,0,20069
3HrDFf1Yj95PFeSR58kCthga3p9hcz9Nmw,0,20069
35aWyVRkYme3aKeezp6wsJVGeoYsCTH44Z,0,20566
3MqifVVoWvgAq6L8opqHbk9jJw6vmgtN2n,0,32293
3AB6rRJRjMUfWhfkhUWucZu7F7mEHfXquW,0,42930
33EfiNWnNm7Sm2vDptHpZ7YbCLD1terroT,0,43007
3Ccr4ZXecb5JHD1qBcnqQyQwt7hCYxAZJu,0,44050
3ErYy1XxL7VZMBiEJaYqV1FHepZqPMpQxi,0,44373
3PNoZtKdNxnCEzdSQegBMbZiUufrL6RtL1,0,45727
363dkkRqjFKf2fAB42Dy3SZVm6Xwj7YDSx,0,50000
32VkjPPDbdxQuXbzwExhvHEYDXEK66fg5z,0,50000
35dQ7EhTvNQsx6NGaWvmXffNSUCitafN2E,0,50000
3EoECUwmZWDar7ZH1E5zaLiyMzwakgM7Py,0,50000
35ZqkJJ8J3fAKkVS8hH3GeZ6HRmixF2MNV,0,53559
33JCLFVubiAfBpx3cqEcyA8CsrNdhSE6gV,0,53935
3E2ZMmUyP2pFK91qYVtz6tRmqVUeqL8KmD,0,61000
3PyFQL2UNfzBVwCi9GYqn2vYpMeamcoQqv,0,62995
35r1ASUT9zkoH6toVUTGsErKkSzpncYEdD,0,63768
321vG6iUNZ9xEYRKf6VzTjVCn7Whw6pMnJ,0,63775
3Fru1eTkBYKXcsqLfjpNZcAboPKzeRYJTp,0,63940
3Q93jpr9S3KhDgsENDeZicDQWtvGPp7BQ9,0,64000
3GAaVV3EAmTM8qsfck5uV8g7j28SviHiBJ,0,64000
36Vb5jUMWqyxVWkMJQt5kofqnq4GZZctbf,0,64000
383XRiCY4uyzhwJJfxW9SNYQN3nB2knYe7,0,64000
3C34eTqgzgpNsohgrBb7A48PyrE9SCMa1n,0,64000
3KkH4bJP6s4bcgG8WqTRu5ePMK42AFNaD7,0,64000
3Gh1LMp9iSjW9ahoznMgGBb8mjoMaB51Lz,0,65000
